,id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,zone
2020,19048994,Relais Lola,119385812,Violante,,Porto - Saragozza,44.48840212060715,11.33634156030087,Entire home/apt,80,2,14,2018-06-06,1.24,2,353,Malpighi
2021,19061539,Warm and cosy 1 bedroom in Bologna historic centre,133064942,Canguro Properties,,Porto - Saragozza,44.494803030185615,11.334119343808633,Entire home/apt,44,3,11,2018-07-12,0.66,9,333,Malpighi
2022,19061547,Cozy 1BR with car park in the heart of Bologna,133064942,Canguro Properties,,Porto - Saragozza,44.493145655311956,11.332138761160287,Entire home/apt,51,3,8,2018-08-17,0.4,9,320,Malpighi
2023,19061550,Top floor few steps from Two Towers/Piazza Maggiore,133064942,Canguro Properties,,Santo Stefano,44.495410735196906,11.349922264935572,Entire home/apt,67,3,9,2018-08-10,1.03,9,335,Irnerio
2024,19061551,Beautiful suite in the heart of Bologna,133064942,Canguro Properties,,Santo Stefano,44.487111387221496,11.345608569510025,Entire home/apt,62,2,2,2018-08-01,0.23,9,348,Galvani
2025,19062085,B&B FunnyFani Bologna Sant'Orsola Private room&wc,133068013,Fani Hospitality,,Santo Stefano,44.488382902163295,11.362695366511467,Private room,55,2,16,2018-05-13,1.08,2,2,Murri
2026,19064593,Appartamento di pregio centro città.,106706854,Mauro,,Porto - Saragozza,44.49251359781257,11.325400554599526,Entire home/apt,58,2,0,,,1,0,Costa Saragozza
2027,19067793,APPARTAMENTO TRANQUILLO VICINO AL CENTRO/APARTMENT,40778208,Luca,,San Donato - San Vitale,44.50272084779841,11.36083938941852,Entire home/apt,76,15,1,2017-07-28,0.07,4,364,San Donato
2028,19076036,Three bedrooms flat in the center of Bologna.,133194175,Valeria,,Porto - Saragozza,44.499533669987656,11.342693531809635,Entire home/apt,125,4,52,2018-07-29,3.57,1,116,Marconi
2029,19083588,Appartamento vicino al centro - Aria condizionata,39409350,Fabrizio,,Porto - Saragozza,44.501046664743185,11.326342093257274,Entire home/apt,89,3,5,2018-07-04,0.43,2,356,Saffi
2030,19094454,flat - room & kitchen near the city centre,80610372,Monica,,San Donato - San Vitale,44.50002071578101,11.362801166704262,Entire home/apt,45,3,3,2017-08-02,0.22,1,360,San Donato
